token	definition_value	section	aliases	direct_consumer_count	alias_mediated_refs	via_parent_chains	total_reach	example_files	routes	dark_binding	tests_guards	semantic_risk	notes
--vf-motion-normal	200ms	Motion (V2 timing system)	-	1	0	0	1	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades)	-	none	
--vf-motion-sheet-in	240ms	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-motion-sheet-out	180ms	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-motion-dialog-in	190ms	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-motion-dialog-out	150ms	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-motion-scrim	200ms	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-motion-skeleton	1.5s	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-motion-snackbar-hold	5000ms	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-ease-standard	cubic-bezier(0.2, 0, 0, 1)	Motion (V2 timing system)	-	5	0	0	5	primitives.css:5	all routes (global CSS grammar: primitives.css)	not-rebound (light value cascades)	-	none	V2 easing; but index.css still uses legacy --motion-out cubic-bezier(0.23,1,0.32,1) in ~24 rules -> two easing systems live.
--vf-ease-out	cubic-bezier(0.16, 1, 0.3, 1)	Motion (V2 timing system)	-	1	0	0	1	index.css:1	all routes (global CSS grammar: index.css)	not-rebound (light value cascades)	-	none	
--vf-ease-in	cubic-bezier(0.64, 0, 0.78, 0)	Motion (V2 timing system)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	not-rebound (light value cascades)	-	none	
--vf-shadow-sm	0 1px 2px rgba(29, 41, 48, 0.06)	Elevation (V2 cool shadow tone — decoration, not palette)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: 0 1px 2px rgba(0, 0, 0, 0.3)	-	none	DEAD at bridge (only e1-e3 consumed via --elevation-*).
--vf-shadow-e1	0 1px 2px rgba(29, 41, 48, 0.06), 0 4px 12px rgba(29, 41, 48, 0.08)	Elevation (V2 cool shadow tone — decoration, not palette)	--elevation-1[L]; --elevation-1[D]	1	15	0	16	index.css:1	all routes (global CSS grammar: index.css)	rebound: 0 1px 2px rgba(0, 0, 0, 0.3), 0 4px 12px rgba(0, 0, 0, 0.3)	-	low	
--vf-shadow-e2	0 10px 30px rgba(29, 41, 48, 0.12)	Elevation (V2 cool shadow tone — decoration, not palette)	--elevation-2[L]; --elevation-2[D]	1	2	0	3	index.css:1	all routes (global CSS grammar: index.css)	rebound: 0 6px 20px rgba(0, 0, 0, 0.42)	-	none	
--vf-shadow-e3	0 16px 40px rgba(29, 41, 48, 0.16)	Elevation (V2 cool shadow tone — decoration, not palette)	--elevation-3[L]; --elevation-3[D]	1	4	0	5	index.css:1	all routes (global CSS grammar: index.css)	rebound: 0 16px 40px rgba(0, 0, 0, 0.55)	-	none	
--vf-scrim	rgba(29, 41, 48, 0.55)	Functional derivatives of approved values (disclosed, not palette)	-	1	0	0	1	index.css:1	dialogs/sheets overlay (all routes)	rebound: rgba(12, 11, 9, 0.62)	styles/vf-tokens.test.ts, design-token-guards.py	low: V2 cool overlay rgba(29,41,48,.55) frozen verbatim in vf-tokens.test; dark warm rgba(12,11,9,.62). NOTE: vaul drawer overlay bypasses it (color-mix ink-on-color 45% in drawer.tsx) -> two scrim grammars live.	
--vf-header-translucent	rgba(240, 243, 244, 0.86)	Functional derivatives of approved values (disclosed, not palette)	-	0	0	0	0	none (dead at bridge)	none (dead at bridge)	rebound: rgba(33, 29, 24, 0.88)	-	none	DEAD at bridge (headers use --color-bg-canvas); rebound in dark but unreferenced.
