id	pattern	surface_route	source	file_line	meaning	visual_prominence	label_verb_ar	touch_target	keyboard_focus	state_distinctions	loading_behavior	dup_press_protection	success_proof	error_recovery	cancel_behavior	financial_consequence	prior_relation_notes
INV-063	aria attribute census	global	src rg	aria-hidden 456 · aria-label 349 · aria-labelledby 43 · aria-pressed 29 · aria-invalid 28 · aria-describedby 27 · aria-live 18 · aria-expanded 15 · aria-modal 5 · aria-haspopup 4 · aria-busy 4 (all in Button) · aria-selected 2 · aria-disabled 2 · aria-current 2 (bottom nav) · aria-controls 1	—	n/a	n/a	—	—	—	—	—	—	—	—	accessibility attributes are systematically applied	n/a [normalized: source row had 17 cols]
INV-064	role census	global	src rg	role=status 145 · role=alert 89 · role=note 10 · role=group 10 · role=dialog 6 · role=alertdialog 3 · role=tab/tablist 3 · role=presentation 2 · region/grid/gridcell/menu/menuitem 1 each	—	n/a	n/a	—	—	—	—	—	—	—	—	live-region-heavy quiet feedback architecture (145 status + 89 alert)	n/a [normalized: source row had 17 cols]
INV-065	Loading-with-spinner real usages	shared	components/finance/ExpenseBudgetsSectionBody.tsx	only 3 `loading={` usages in entire src (ExpenseBudgetsSectionBody.tsx ×3) — spinner pattern exists but almost unused; forms rely on label-change + disabled instead	spinner	n/a	48px	n/a	n/a	aria-busy + spinner + disabled	receipts/messages	n/a	n/a	n/a	—	NEW: loading spinner feature is near-dead code (3 usages vs 393 buttons)	n/a [normalized: source row had 17 cols]
INV-066	type=submit + real forms	global	src rg	11 type=submit instances across 9 <form> elements (quick forms, Setup, draft, etc.) — Enter-submit enabled where safe (comments cite GAP-4.3-05/F13: short forms no textarea)	n/a	n/a	48px	Enter submits on: QuickSaleForm, QuickExpenseForm, Setup, (others per file)	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Enter-key submit design decision documented	n/a [normalized: source row had 17 cols]
INV-067	OrderDetail action cluster	order detail	/pages/OrderDetail.tsx	30 Button action usages (highest single file) incl. delivery review, deposit panels (OrderDepositPanels.tsx ×6) — deferred deep-dive (S2/S3 ownership of financial semantics)	mixed	mixed	48px	native	n/a	per action	per action	per action	per action	per action	WRITE-heavy surface	count context only	n/a [normalized: source row had 17 cols]
INV-068	EventsLayer/Finance action cluster	finance	/components/finance/EventsLayer.tsx + Finance.tsx	Finance.tsx ×18 + EventsLayer ×4 + ExpenseBudgetsSectionBody ×7 + FinancePoliciesSection ×5 — finance surface dense with correction paths (quiet) per AUD/W4	mixed	mixed	48px	native	n/a	per action	per action	per action	per action	per action	WRITE-heavy + corrections	VIS-010 Finance 3825px density context	n/a [normalized: source row had 17 cols]
INV-069	Disabled-with-reason pattern	shared	useDisabledCapabilities + CapabilityRouteGate.tsx	capability-driven disabled (useDisabledCapabilities.ts consumed at Home :553 catalog gating); sheet actions carry aria-disabled + disabled (QuickActionSheet.tsx:260-262); select option disabled for unset wallet source (QuickExpenseForm.tsx:280-283)	disabled + reason text	n/a	48px	native	aria-disabled where soft	n/a	n/a	n/a	n/a	n/a	n/a	G004 capability guard system	n/a [normalized: source row had 17 cols]
INV-070	Error boundary + route loading	error/router	components/ErrorBoundary.tsx + MicroRouter	ErrorBoundary Button ×1 (reload); Home route loading role=status (Home.tsx:257); Home full-error retry action=save (Home.tsx:268) + refresh-error inline alert (Home.tsx:320-327)	retry button	أعد المحاولة	48px	native	loading vs error vs refresh-error states	—	—	—	role=alert inline + retry	in-place retry (never page reload per Z1.4 comment :41-44)	—	Z1.4 read-layer state machine	n/a [normalized: source row had 17 cols]
INV-071	PWA install/runtime notices	pwa	chrome	pwa/PwaInstallControl.tsx + PwaRuntimeNotice.tsx	install banner with icon-button «ليس الآن» (aria-label+title :112-116); update notice «لاحقًا» (:81-85) — dismissible, honest	notice + icon dismiss	ليس الآن/لاحقًا	44×44	native	n/a	n/a	n/a	n/a	n/a	dismiss only	local PWA chrome	DevicePwa W4.4
INV-072	Foundation secondary nav buttons	foundation	/pages/Foundation.tsx	Foundation.tsx:188-251	three action=secondary buttons that NAVIGATE to finance editors (owner_investment/owner-entitlement/operating_expense_payable) — secondary-styled navigation (correct class, contrast W4 save-styled nav)	secondary	نظرة على…	48px	native	n/a	n/a	n/a	n/a	n/a	n/a	NAVIGATION	AUD-007 /foundation no back button (different issue, S1/S2 scope)
INV-073	ChoiceButton group semantics note	choice rows	ChoiceRow.tsx	ChoiceRow.tsx:36-37	name prop documented «اسم المجموعة للوصولية (toggle semantics)» but passes to button name attribute (line 53) — no radiogroup; aria-pressed toggle semantics per button; acceptable for toggle	neutral	—	48px	native	aria-pressed	—	—	—	—	—	—	note: toggle-not-radiogroup semantics choice documented
